GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval
HOG0000007		HOG0008960		24	1.77077711601188	0.598863900523122	9.16030389424612e-06	0.5605451795841209	2.572115022075952e-05	0.0027399960159951997	0.031401632497878015
HOG0000007		HOG0014967	Atha__AT5G13530	30	0.3888993472421579	0.5593806651453486	2.026477249478269e-06	0.5160320761790692	7.813951624215338e-06	0.0008965045149366139	0.015761547771597606
HOG0000007		HOG0015720	Atha__AT3G15120	27	0.5973861013594568	0.5001471119083934	3.71294662121321e-05	0.5128238672194716	2.663900966914092e-05	0.0073487271374949375	0.03193380493528695
HOG0000017	Atha__AT5G04780	HOG0005318	Atha__AT1G65610	30	0.8485237346759784	0.6652357538728604	4.0024183452357823e-08	0.5308394817625813	4.994429106948587e-06	3.8947253264761226e-05	0.01143509844974593
HOG0000024	Atha__AT3G16610	HOG0007353	Atha__AT2G33205	24	0.6782884472430384	0.5947681093262536	1.027413579733491e-05	0.6097572778827974	6.713540470741476e-06	0.002983176268017353	0.0141488431623085
HOG0000039	Atha__AT5G40405	HOG0017681	Atha__AT4G05150	24	2.1980210636874915	0.5955013541371079	1.0066051037558728e-05	0.5776	1.6425818326395293e-05	0.002937188661595204	0.024424147435155637
HOG0000052	Atha__AT5G48910	HOG0003153	Atha__AT1G14830	14	0.3643048685433456	0.7616599565432878	4.638021741829935e-05	0.8724791691824659	1.0279787693084366e-06	0.00852955974547359	0.003325024701543889
HOG0000058	Atha__AT4G21065	HOG0001304	Atha__AT1G79630, Atha__AT1G16220	19	1.2012341054976636	0.6411292155148387	3.8175857080474775e-05	0.751111111111111	1.5893774885934944e-06	0.0074904018791045685	0.004806690807619944
HOG0000138		HOG0015899	Atha__AT5G63690	19	1.8362906602249944	0.6138423587448955	7.250360989682555e-05	0.6484487534626038	3.188684384190384e-05	0.011452144996301738	0.03486984411549262
HOG0000180	Atha__AT4G38620	HOG0012504	Atha__AT1G52343	17	1.8367552065819903	0.7638452160414723	4.534502648362286e-06	0.6541955017301039	8.459695101481672e-05	0.0016426228331262547	0.05550597261900033
HOG0000229	Atha__AT1G28360	HOG0017776	Atha__AT3G51710	19	0.6185165125911998	0.6756318074007098	1.5808412168145966e-05	0.6343982763927363	4.490979716030268e-05	0.0040484569620681515	0.04132278658702051
HOG0000238	Atha__AT1G80580	HOG0012834	Atha__AT3G57290	15	0.1589306550635933	0.756961674184002	2.483554439824373e-05	0.7224999999999998	5.995888525311016e-05	0.005571631995950941	0.047578479753705494
HOG0000243	Atha__AT5G18560	HOG0000315	Atha__AT3G03220	20	0.2679573985553938	0.6042905073643009	5.504794703409237e-05	0.6915235457063711	5.522372803574232e-06	0.009559473827188922	0.012271228688950407
HOG0000265	Atha__AT3G05620	HOG0017149	Atha__AT4G16835	22	0.5487487376941208	0.7468598189313638	2.1702886435711067e-07	0.5429800847521126	9.174588774353496e-05	0.0001553838549677134	0.05741444000765567
HOG0000542	Atha__AT1G09080	HOG0009646	Atha__AT5G09840, Atha__AT5G64710	21	2.652389440469663	0.5585865983749858	9.867280393510938e-05	0.6400000000000001	1.3416326957422052e-05	0.014014877567720553	0.021866415186168466
HOG0001269	Atha__AT5G10450, Atha__AT5G65430	HOG0015317	Atha__AT1G68400	21	0.5245153700082796	0.5697196053267805	7.676177681865979e-05	0.5891060887164783	4.883285251352681e-05	0.011881470638215824	0.043211244570994296
HOG0001333		HOG0014880	Atha__AT4G34970, Atha__AT2G16700	19	0.9236541366095928	0.6197035354340993	6.340820318756999e-05	0.6205016928285626	6.225179850049195e-05	0.010510144608099858	0.04849853926044491
HOG0001333		HOG0016260	Atha__AT5G56460	28	1.9044938775922469	0.5432949724905811	7.687577180514942e-06	0.5283467683105302	1.1829542809138805e-05	0.002410093197832553	0.02031874983023909
HOG0001333		HOG0016300	Atha__AT4G38890	30	1.4535402301943423	0.6167890483250363	2.7475713211255065e-07	0.5314880332986472	4.895977305896012e-06	0.0001871841282596593	0.01123910784087545
HOG0001359	Atha__AT3G60330	HOG0005713	Atha__AT4G18360	22	0.6852272457972499	0.6749796968955641	2.763014397640434e-06	0.6186786233185958	1.418080756174458e-05	0.001134329985170243	0.022401602502084488
HOG0001415		HOG0015079	Atha__AT2G20420	19	0.4730722211723401	0.7334346087354917	2.8774236528340047e-06	0.7180332409972299	4.681087721120231e-06	0.0011692254067771166	0.010941362256188919
HOG0001439		HOG0017751	Atha__AT4G22200	18	0.357174842235731	0.7309291361875111	6.188465558043729e-06	0.6901511351376681	1.9612643482449587e-05	0.0020651981402367322	0.026979446039707655
HOG0001459	Atha__AT2G39040	HOG0015779	Atha__AT3G63540	15	0.5912060476468015	0.8105157640378456	4.785358242542339e-06	0.7781760204081632	1.3558210624788687e-05	0.0017087249467867276	0.021902896091263727
HOG0001540	Atha__AT5G51750	HOG0014081	Atha__AT1G67660	27	1.0566064840352394	0.6266220766867019	8.766853519426684e-07	0.5730804265602798	4.870182054581989e-06	0.00047086453732827246	0.011207532202260234
HOG0001540	Atha__AT5G51750	HOG0014696	Atha__AT2G45520	27	1.7381657886299169	0.6368537443951949	6.149853920022742e-07	0.6260113512860765	8.951689147433935e-07	0.0003569184230998414	0.002965640361883363
HOG0001540	Atha__AT5G51750	HOG0018138		18	0.8139570394549435	0.648449675151197	5.530413158183722e-05	0.7248703620278157	7.42168762562196e-06	0.009587367588774872	0.015244543786686182
HOG0001548	Atha__AT1G71870	HOG0019591		18	0.4995736753248095	0.628866669103716	8.644367297306779e-05	0.7143651333761464	1.007895274460845e-05	0.012854870092320673	0.01856805937740276
HOG0001553	Atha__AT2G38510	HOG0003151	Atha__AT3G61760	17	0.4963802485022072	0.6887387376588707	3.759552647469514e-05	0.6741697904652059	5.346351701144889e-05	0.007411251632796928	0.04515261432453205
HOG0001553	Atha__AT2G38510	HOG0006478	Atha__AT4G39400	15	0.3751489347638148	0.8350521474529997	1.91847579041094e-06	0.7593877551020405	2.323647782163268e-05	0.0008596831754821471	0.029631829268520902
HOG0001553	Atha__AT2G38510	HOG0015162	Atha__AT5G11040	15	0.399843714267027	0.7630787179234273	2.0972407073341417e-05	0.7531760204081633	2.7518063955129248e-05	0.004939358785237391	0.03226753069524403
HOG0001553	Atha__AT2G38510	HOG0017229	Atha__AT2G42710	18	0.9721646645924552	0.6650186822809696	3.718510215405144e-05	0.6663546196274394	3.598441737777743e-05	0.007356299153630836	0.03724561797548187
HOG0001553	Atha__AT2G38510	HOG0019851	Atha__AT3G16290	19	0.3765894618083113	0.7044906067657881	7.032256341145952e-06	0.6799015081563556	1.4086328903713012e-05	0.0022592285895047413	0.022324192621793085
HOG0001561	Atha__AT5G20490, Atha__AT1G17580	HOG0012135	Atha__AT5G15100	34	2.068894502036282	0.5356701993780526	8.715084192584098e-07	0.5123891073201279	1.9449212717976547e-06	0.00046893599110817293	0.005636379267907812
HOG0001561	Atha__AT5G20490, Atha__AT1G17580	HOG0015798	Atha__AT5G11580	32	1.288930805619123	0.5304441353434417	2.298416940068809e-06	0.5482946483088379	1.266209603753804e-06	0.0009841536426393918	0.004003785895866728
