GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval
HOG0000066	Atha__AT4G34410	HOG0011459	Atha__AT1G13330	15	0.5249667931827893	0.8165230731631025	3.869120917991773e-06	0.7908290816326528	9.192974758842268e-06	0.003298013609336347	0.004012217824345515
HOG0000124	Atha__AT3G28470	HOG0007116	Atha__AT3G26790	13	1.7162025578505755	0.8562196327394079	5.847597911399561e-06	0.811979229561647	2.613862202954826e-05	0.004390222075254635	0.010591325736134591
HOG0000124	Atha__AT3G28470	HOG0010485	Atha__AT3G20920	15	0.3254499353282631	0.8161139792182583	3.926373241911596e-06	0.7044005102040815	9.136935846519936e-05	0.0033330999865800073	0.030929365720814263
HOG0000124	Atha__AT3G28470	HOG0010848	Atha__AT4G25230, Atha__AT5G51450	13	1.206056926218661	0.899172961802756	8.136891578828859e-07	0.7922956164714408	4.565437440744702e-05	0.0010636489701011107	0.017263923622289012
HOG0000128	Atha__AT5G12870, Atha__AT3G08500	HOG0007067	Atha__AT1G22930	13	0.53694365203136	0.9198790936566528	2.2764278453613507e-07	0.914020045888178	3.365097276351456e-07	0.0004046345439465295	0.00015485122511130008
HOG0000192	Atha__AT4G02670	HOG0013015	Atha__AT3G10220	14	0.4702351692342845	0.7896516344584941	2.159126573023867e-05	0.8001400797005194	1.579830848680049e-05	0.010471456418019318	0.006700426953862967
HOG0000318		HOG0013456	Atha__AT3G47840	6	1.2555585882270548	0.986398710488897	6.969010344104409e-05	1.0	0.0	0.021468140927898255	0.0
HOG0000325		HOG0002045	Atha__AT1G43800	8	0.3192355869381513	0.9708948725093962	7.7903415517117e-06	0.9529478458049888	3.3143960262001043e-05	0.005334299065759034	0.01302028704407582
HOG0000325		HOG0003625	Atha__AT3G04860, Atha__AT5G28150	8	0.5223286375559476	0.9367045492570386	8.119985814055005e-05	0.9529478458049888	3.3143960262001043e-05	0.023484892989952186	0.01302028704407582
HOG0000340	Atha__AT1G79580	HOG0008310	Atha__AT1G77250	17	1.3123881195483786	0.6931364894287004	3.369901238390756e-05	0.6701509034986545	5.876012799925565e-05	0.013844342785736558	0.02150486461750078
HOG0000436	Atha__AT5G47640	HOG0005169	Atha__AT4G23950	9	2.937431270819746	0.9634783927114952	2.748662151094615e-06	0.9344444444444444	2.155031274835775e-05	0.002595609878103887	0.008899469979586735
HOG0000452		HOG0006307	Atha__AT2G21390, Atha__AT1G62020	16	0.172805305931414	0.8099801436760812	2.0526123102631804e-06	0.7426384083044981	1.7805184419815055e-05	0.0021043480599474166	0.007511603184449542
HOG0000464	Atha__AT2G45050, Atha__AT3G60530	HOG0010721	Atha__AT4G15900, Atha__AT3G16650	16	0.4109483968537334	0.8134135428742113	1.8033897105594345e-06	0.7075778546712801	4.442904294313836e-05	0.0019157703204121565	0.01689465666322458
HOG0000489	Atha__AT2G25780	HOG0015845	Atha__AT2G02150	10	0.60737813980473	0.9417249677009648	3.229767366801994e-06	0.928595041322314	7.320974809529922e-06	0.002910669307620051	0.003208555881668116
HOG0000497	Atha__AT5G05170	HOG0012527	Atha__AT2G18876, Atha__AT5G57410	19	1.9418458777838936	0.6360243686482464	4.319281070862305e-05	0.6371960603262541	4.199211365582816e-05	0.016120872232797526	0.016064324072732547
HOG0000542		HOG0002217		9	1.805399764472445	0.9160292728516236	5.165197053194668e-05	0.9025	8.762523965086177e-05	0.01794206353206236	0.029868666638371753
HOG0000554	Atha__AT1G76420	HOG0002662	Atha__AT2G39900, Atha__AT3G55770	12	0.5437644601688746	0.797648125056477	9.16060656610218e-05	0.9044941072913104	2.0384246324655723e-06	0.02516443262364264	0.0009226591300228303
HOG0000574		HOG0010705	Atha__AT2G30700	9	0.4202618802566242	0.9482034516593814	9.395693869432005e-06	0.9669444444444444	1.9361963037459243e-06	0.006040983433641814	0.0008770635523488909
HOG0000608		HOG0008239	Atha__AT5G65770, Atha__AT5G65780	7	1.8713616247413245	0.9700641179386544	5.321811099572926e-05	1.0	0.0	0.01827373396663204	0.0
HOG0000615	Atha__AT4G35390, Atha__AT1G20900, Atha__AT1G76500	HOG0002337	Atha__AT5G45580	10	0.9344694305688928	0.9735656512037428	1.349512969275578e-07	0.9053810835629016	2.279854920641689e-05	0.00027033083009233975	0.009337855663685125
HOG0000615	Atha__AT4G35390, Atha__AT1G20900, Atha__AT1G76500	HOG0011609	Atha__AT2G04540	14	0.5152043884931056	0.8470248505350866	3.101940112942848e-06	0.8080231856056033	1.235870086560078e-05	0.0028271975568665867	0.005300983714416358
HOG0000615	Atha__AT4G35390, Atha__AT1G20900, Atha__AT1G76500	HOG0013703	Atha__AT1G65280	16	0.3800356732752018	0.8069732473375706	2.2947041560731244e-06	0.804714532871972	2.492375965885868e-06	0.0022802032153928274	0.0011243176113311818
HOG0000657	Atha__AT4G13600	HOG0009211	Atha__AT1G19300, Atha__AT3G50760	16	0.4863340516720656	0.7954081311215083	3.4697522028355534e-06	0.7733650519031143	7.187273041770843e-06	0.0030619199028697175	0.0031665099004475187
HOG0000657	Atha__AT4G13600	HOG0016447	Atha__AT5G18390	4	0.6714902360559036	0.9998648635913038	6.75704872334926e-05	1.0	0.0	0.021097132101878843	0.0
HOG0000659	Atha__AT1G79480	HOG0004179	Atha__AT2G40810, Atha__AT3G56440	16	0.4053728742090491	0.7079409038023242	4.403486495762014e-05	0.7125346020761244	3.930242737399878e-05	0.016305142183992108	0.015169175069411924
HOG0000659	Atha__AT1G79480	HOG0013621	Atha__AT4G00030	17	0.7615473015081302	0.7127332294407235	2.03016386003628e-05	0.8997080449826991	6.859595261700981e-09	0.010071253738656053	3.1722395112629776e-06
HOG0000670		HOG0004977	Atha__AT2G37860	6	0.3120427599471718	0.9979829107916174	1.526770346946224e-06	1.0	0.0	0.001694119632454675	0.0
HOG0000702	Atha__AT5G03260	HOG0011539	Atha__AT1G14000	8	0.8341098847631375	0.9368318353025208	8.070690305068464e-05	0.9529478458049888	3.3143960262001043e-05	0.023401674254958763	0.01302028704407582
HOG0000802	Atha__AT3G24715, Atha__AT1G04700	HOG0008505	Atha__AT2G20750, Atha__AT4G28250	14	0.903695985093396	0.7588760405099734	4.980252420522864e-05	0.7613041903151794	4.680621207250762e-05	0.017555906252964482	0.017641895151725796
HOG0000802	Atha__AT3G24715, Atha__AT1G04700	HOG0015709		12	1.2908922909520706	0.8270373544973442	4.1189663000869925e-05	0.9044941072913104	2.0384246324655723e-06	0.015664431508107486	0.0009226591300228303
HOG0000803	Atha__AT3G46920	HOG0008155	Atha__AT5G57740	19	0.6265564798217362	0.6564309898338616	2.609474800315498e-05	0.7450415512465373	1.957499940679194e-06	0.0118122662013861	0.0008865768835811816
HOG0000803	Atha__AT3G46920	HOG0012255	Atha__AT5G45290	19	2.154327795551532	0.7036372023128017	7.210532288210022e-06	0.6626531240381656	2.225002687228232e-05	0.005073417822331558	0.009159853461791208
HOG0000804	Atha__AT5G57610	HOG0008213	Atha__AT1G08760	13	0.9816712779619682	0.9047709598370732	5.927767487665043e-07	0.9565269894940222	7.757814031393615e-09	0.0008380715297526773	3.5872464975098454e-06
HOG0000804	Atha__AT5G57610	HOG0009250	Atha__AT4G26580, Atha__AT5G55970	16	0.945994510792035	0.7011141218046343	5.197650169876428e-05	0.7175086505190313	3.4680464849150824e-05	0.018012846016890245	0.013577541172965177
HOG0000804	Atha__AT5G57610	HOG0010735	Atha__AT3G53360	13	0.8674480294776756	0.8016645461650048	3.524817093168412e-05	0.811979229561647	2.613862202954826e-05	0.014234274530856685	0.010591325736134591
HOG0000804	Atha__AT5G57610	HOG0010943	Atha__AT1G58470	16	1.7270622991419262	0.6930551904746045	6.292128114879126e-05	0.6977162629757786	5.637132062814415e-05	0.020210098961094464	0.020783537457369553
HOG0000804	Atha__AT5G57610	HOG0015779	Atha__AT3G51290	14	0.7040821366735642	0.7557236333000985	5.393193583867202e-05	0.7922956164714408	1.998540422478126e-05	0.018440090013790867	0.008341057127490493
HOG0000804	Atha__AT5G57610	HOG0016780	Atha__AT1G47510	8	1.1106150222037827	0.9667691393966936	1.1613481280251418e-05	0.9529478458049888	3.3143960262001043e-05	0.00696165897115135	0.01302028704407582
HOG0000827	Atha__AT1G78260, Atha__AT1G22330	HOG0010294	Atha__AT1G44446	14	0.5551819935278121	0.8083945738042155	1.2213598836912492e-05	0.7844897959183673	2.5040044989174743e-05	0.007197850357325783	0.010184856384490067
HOG0000831	Atha__AT2G28470	HOG0012757	Atha__AT2G03390	17	0.9962717076728884	0.6662249422975466	6.43721312147369e-05	0.6502366878123801	9.237187552774258e-05	0.02049986440017625	0.03117343747967053
HOG0000831	Atha__AT2G28470	HOG0014142	Atha__AT5G39960	17	0.8244932613569059	0.7036780992689652	2.576184268331763e-05	0.6985354190695887	2.940167931682037e-05	0.011713522403300808	0.011773438174995137
HOG0000833	Atha__AT4G36360, Atha__AT1G45130	HOG0012379	Atha__AT3G59040	18	1.6590725864432931	0.7354698320914977	5.386343304466629e-06	0.7461108608344758	3.854410891744889e-06	0.0041491887551979535	0.001728946210828924
HOG0000833	Atha__AT4G36360, Atha__AT1G45130	HOG0017219		10	9.887864942138236	0.9155071402800352	1.4433473840554303e-05	0.8824609733700641	5.484052998513666e-05	0.008045302573768693	0.02027646691811893
HOG0000844		HOG0002003	Atha__AT1G01200	8	2.259576905119046	0.966895583810034	1.1480856408455518e-05	0.9529478458049888	3.3143960262001043e-05	0.00690483814198125	0.01302028704407582
HOG0000882	Atha__AT1G79800	HOG0014474	Atha__AT5G20080	10	0.3333892780921649	0.9430349055733296	2.9473868061089595e-06	0.8824609733700641	5.484052998513666e-05	0.0027267929501053846	0.02027646691811893
HOG0000885	Atha__AT1G48940, Atha__AT3G18590	HOG0002594	Atha__AT4G28440, Atha__AT1G03810	11	0.7070580452355621	0.8320433607781578	9.08666749673992e-05	0.859834710743802	3.973774256558543e-05	0.02505312380956944	0.01529929416093877
HOG0000885	Atha__AT1G48940, Atha__AT3G18590	HOG0016329	Atha__AT4G29820	11	0.2031100071591561	0.8318711334104172	9.129425079896872e-05	0.8767768595041325	2.208207644917754e-05	0.02511834475128844	0.00909794415459527
HOG0000889	Atha__AT3G51850	HOG0006944	Atha__AT1G17420, Atha__AT1G72520	17	1.7157433115774203	0.7046010666800353	2.515209354133387e-05	0.6701509034986545	5.876012799925565e-05	0.011543010873437213	0.02150486461750078
HOG0000889	Atha__AT3G51850	HOG0010406	Atha__AT4G04770, Atha__AT5G44316	17	1.95731266754945	0.7429802316803149	8.658626573312102e-06	0.6782006920415226	4.857553344934705e-05	0.005718985592841564	0.01825056642257599
