GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval
HOG0000014	Atha__AT3G28470	HOG0014275	Atha__AT4G16410	30	0.7997508175558985	0.5473166941997366	2.986754096514097e-06	0.5438857412945542	3.3290841707410293e-06	0.001365681761312944	0.009009491783664326
HOG0000039	Atha__AT5G52600	HOG0001597	Atha__AT1G59960, Atha__AT1G59950	12	2.482910482489099	0.9159807161100604	1.0685228068499037e-06	0.8650300748202849	1.170222792865967e-05	0.0006249604472720194	0.02298657089176949
HOG0000054	Atha__AT2G40460	HOG0013505	Atha__AT3G18890	22	1.01755741413939	0.6334928866381109	9.44371583595352e-06	0.6222367964198915	1.2879635045813256e-05	0.0031679679608348516	0.0245856822231305
HOG0000095	Atha__AT5G04970, Atha__AT3G10720	HOG0001650	Atha__AT2G31500	13	0.9506549721247892	0.7840835065827334	5.674905122727081e-05	0.8021072334259146	3.480972994482087e-05	0.010839347199933295	0.04402764800136229
HOG0000095	Atha__AT5G04970, Atha__AT3G10720	HOG0007599	Atha__AT4G37650	12	0.8264742785674742	0.8976118103689109	2.895716432272995e-06	0.931292483740036	3.88098529962746e-07	0.0013346547628870376	0.0013359295450056223
HOG0000095	Atha__AT5G04970, Atha__AT3G10720	HOG0015717	Atha__AT5G18930	17	0.5425335153257278	0.7369917617489363	1.0326916629384313e-05	0.7613417916186085	4.914594673940109e-06	0.003371934982463311	0.012276534544655932
HOG0000106	Atha__AT1G06260	HOG0008021	Atha__AT1G75100	25	0.6283154735291572	0.5356516179512333	3.2107484166048924e-05	0.534023668639053	3.347036201046326e-05	0.007420834352093255	0.043152313619888395
HOG0000106	Atha__AT1G06260	HOG0010897	Atha__AT3G20040, Atha__AT1G50460	22	0.3128277599993561	0.6806982896607503	2.3050654789010814e-06	0.6438000906122577	7.050194126781894e-06	0.0011266843954737154	0.01616599776372182
HOG0000106	Atha__AT1G06260	HOG0014008	Atha__AT4G02440	24	0.6404497067123194	0.6447835905636488	2.3281865040600214e-06	0.5348060491493383	4.909793141027189e-05	0.0011351520275375098	0.0527545179347332
HOG0000106	Atha__AT1G06260	HOG0015344	Atha__AT5G56450	24	0.3487565951971354	0.723510534296647	1.405583800344688e-07	0.593569754253308	1.062270316820612e-05	0.0001249212085945148	0.02159388816692675
HOG0000106	Atha__AT1G06260	HOG0015396	Atha__AT5G60540	22	0.9110747476286424	0.6828111963003421	2.154063294613577e-06	0.583658037884341	3.501472204283088e-05	0.0010706523896471215	0.044109346982703274
HOG0000106	Atha__AT1G06260	HOG0015769	Atha__AT5G23240	24	0.561961038896131	0.6558779731851957	1.6298942887637794e-06	0.6097572778827974	6.713540470741476e-06	0.0008653029693267139	0.015596938512194415
HOG0000106	Atha__AT1G06260	HOG0016192	Atha__AT5G50930	24	1.021685217907382	0.6058496896709319	7.512318757754921e-06	0.5196529300567106	7.072723701422155e-05	0.0026881206916446587	0.06243027370337166
HOG0000106	Atha__AT1G06260	HOG0016551		24	0.3836839938306194	0.6460338146737925	2.237704823774701e-06	0.5373527410207938	4.6125988226586144e-05	0.0011023253578887455	0.05112610335694715
HOG0000106	Atha__AT1G06260	HOG0017143	Atha__AT2G37310	22	0.4670785537868278	0.5712930194918311	4.735475830174184e-05	0.5871141845167823	3.213226251313809e-05	0.009619316339283097	0.04244593397855063
HOG0000107	Atha__AT1G09850	HOG0015983	Atha__AT4G34700	23	0.8030753882770884	0.562197393187412	3.8056450857571474e-05	0.5274892983799153	8.714737703174306e-05	0.008323018954758338	0.06878536688194947
HOG0000108	Atha__AT1G20850, Atha__AT4G35350	HOG0016653	Atha__AT5G59250	25	0.4508972070123366	0.5202872242645837	4.727984627785124e-05	0.6024147928994081	5.1169902282568975e-06	0.009608545991055529	0.012661482146650601
HOG0000167	Atha__AT2G03880	HOG0004758	Atha__AT2G04220, Atha__AT4G12690, Atha__AT5G48270	19	1.062866268872172	0.6170506919905623	6.739057166190098e-05	0.6177408433364112	6.633365568960715e-05	0.01211080709221583	0.06100931572921553
HOG0000167	Atha__AT2G03880	HOG0006309	Atha__AT3G58150	22	1.1897670973347398	0.6248523938916563	1.199324372340108e-05	0.5905805337961086	2.945926531923321e-05	0.0037580752796209883	0.04036774572128334
HOG0000169	Atha__AT3G15130	HOG0015150	Atha__AT4G13650	23	0.5690676310396185	0.5238268989530273	9.478981076490002e-05	0.5759190113890233	2.695768078863082e-05	0.015084041714096299	0.03847250545756791
HOG0000172	Atha__AT5G39680	HOG0007557		18	0.7360067153701033	0.7210080786391387	8.316361395809518e-06	0.6265318793858318	9.103407554058785e-05	0.0028915536566249825	0.07011669112367128
HOG0000181	Atha__AT3G26782	HOG0013506	Atha__AT2G20000	27	0.4377262391654688	0.5356220646709706	1.4356772116270323e-05	0.5242537953160663	1.960842468556585e-05	0.0042698680227510905	0.03207462120373696
HOG0000186		HOG0010324	Atha__AT5G19930	18	1.5644205833130265	0.8357515395054822	1.1257397962886245e-07	0.8153959536125568	2.8975155060171095e-07	0.00010420121426131132	0.001009434523945093
HOG0000187	Atha__AT5G09950	HOG0016607	Atha__AT2G14660	25	0.9772070413964468	0.532991343098464	3.436198225008845e-05	0.5374017751479289	3.069941468924467e-05	0.007771327437026312	0.04130422689429803
HOG0000191	Atha__AT2G27610	HOG0008678	Atha__AT2G38040	22	0.6911392767371559	0.5398579141167904	9.845245493147275e-05	0.6365715152939272	8.661460225642303e-06	0.01544470317744747	0.01869851984008417
HOG0000191	Atha__AT2G27610	HOG0015577	Atha__AT3G29240	22	1.1835525523669712	0.5737964623803549	4.457698557043938e-05	0.6169033627605304	1.487356086271994e-05	0.00924404021834027	0.027015777033619383
HOG0000197	Atha__AT4G38210	HOG0015952	Atha__AT5G40530	16	0.6659797978009848	0.6784030118108424	8.799214467178434e-05	0.7275086505190311	2.6790740577247285e-05	0.014387838694103755	0.0383603670303532
HOG0000198	Atha__AT3G03220	HOG0009151	Atha__AT5G42800	21	1.4122131049197082	0.6942846901537875	2.740844709471281e-06	0.6483386743127002	1.0678393833166908e-05	0.0012806356759328668	0.021666995234806908
HOG0000208	Atha__AT5G56320	HOG0003731		3	0.3126587255940883	0.9999999965519456	3.738240036033908e-05	1.0	0.0	0.008224372879276957	0.0
HOG0000208	Atha__AT5G56320	HOG0013456	Atha__AT2G14835	13	0.5462264144098251	0.7677152350504846	8.555571103854951e-05	0.8419574930563941	9.906225317564678e-06	0.014136280357637488	0.02055592141112461
HOG0000211	Atha__AT4G01630	HOG0011905	Atha__AT5G07950	17	1.0309563333589826	0.7320120833911472	1.192121533700938e-05	0.7959438677431759	1.4893515661379568e-06	0.003742001826818901	0.004592009206593253
HOG0000217	Atha__AT5G18960, Atha__AT3G06250	HOG0008141	Atha__AT5G60010, Atha__AT3G45810	16	0.8169766356590464	0.8605896183454994	2.2881838482297795e-07	0.7785467128027683	6.095619569194934e-06	0.00018571885779422627	0.014496310267701894
