GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval
HOG0000014	Atha__AT2G40460	HOG0014414	Atha__AT1G17665	23	4.17746084006266	0.5533810744285951	4.724020516163661e-05	0.5819337905607026	2.3098583986839228e-05	0.011294625378896197	0.01856890969050447
HOG0000019	Atha__AT3G01350, Atha__AT5G14940	HOG0014392	Atha__AT3G24170	28	0.2270464505820298	0.6032362783418515	1.1782870751608914e-06	0.5164786309115622	1.6505104202936965e-05	0.000794030497088269	0.014132110908994305
HOG0000019	Atha__AT3G01350, Atha__AT5G14940	HOG0016465	Atha__AT1G19290	25	0.7022572933114297	0.6356472161344824	1.8313498112220585e-06	0.538530177514793	2.982194966558233e-05	0.0011150407147991854	0.022579788828869574
HOG0000042	Atha__AT5G16860	HOG0010618	Atha__AT1G33980	20	1.890526889299205	0.7470051498303867	8.964458745090032e-07	0.5835581434789984	8.847255639528148e-05	0.0006430684745755551	0.04765253923650576
HOG0000042	Atha__AT5G16860	HOG0013704	Atha__AT1G13630	23	1.863368792879124	0.683040007578458	1.176503326814289e-06	0.540486494086769	6.434557965572448e-05	0.0007932422918143824	0.03897140274149652
HOG0000042	Atha__AT5G16860	HOG0014257	Atha__AT2G04560	25	0.8456011597751654	0.6471876659932064	1.2547496589568774e-06	0.5239532544378696	4.315575315738709e-05	0.0008340699112666585	0.029746233572096197
HOG0000042	Atha__AT5G16860	HOG0016941	Atha__AT2G24350	17	3.1834051973206656	0.6502491490255258	9.23464524775772e-05	0.6701509034986545	5.876012799925565e-05	0.01733329145172998	0.036606862579868484
HOG0000043	Atha__AT3G26782	HOG0014580	Atha__AT1G27840, Atha__AT1G19750	24	1.1619973032791795	0.5299199501473182	5.529706784396402e-05	0.5121580340264649	8.438576636009348e-05	0.012501423365488587	0.04643943973176269
HOG0000052		HOG0013218	Atha__AT5G44635	19	0.2439760905711968	0.6274014002824257	5.301202345141665e-05	0.7663927362265314	9.194040025853304e-07	0.01217771124606192	0.0010115821635382288
HOG0000054	Atha__AT4G21065	HOG0010664	Atha__AT5G04920	16	2.733660982595401	0.7255700750366811	2.818542799001753e-05	0.7477162629757786	1.544234049652656e-05	0.00799701682604367	0.013376426241811389
HOG0000069		HOG0014337	Atha__AT1G22860	22	0.768089274356758	0.623317357855276	1.2506491430082356e-05	0.6547194734413947	5.126180402790686e-06	0.004554719748394758	0.005155488052223829
HOG0000075	Atha__AT3G24000	HOG0006957	Atha__AT5G02860	25	0.9599551972341548	0.546194401380947	2.444654710503488e-05	0.5613467455621303	1.6346353224807828e-05	0.007267258792033308	0.014020390785156057
HOG0000115	Atha__AT4G38210	HOG0005763	Atha__AT1G11790	9	1.949946299039789	0.938631060156567	1.7076291837420285e-05	0.9025	8.762523965086177e-05	0.005656061244434688	0.04749720415773432
HOG0000180	Atha__AT1G77210	HOG0001567	Atha__AT2G13680	25	0.4300214639353198	0.6653530865964727	6.748576500413762e-07	0.6168289940828402	3.3117206719816757e-06	0.0005152968077741719	0.0034448071462338135
HOG0000180	Atha__AT1G77210	HOG0007518	Atha__AT4G16070	21	0.6332573654511092	0.5771290800977508	6.472595456655696e-05	0.6736785292629448	5.160782548523581e-06	0.013840585188240943	0.00518286533722989
HOG0000180	Atha__AT1G77210	HOG0017500	Atha__AT5G20110	22	1.100415902342838	0.6013893765131618	2.236751696230284e-05	0.6063053633082849	1.968756752930951e-05	0.0068354788926061425	0.016364544306854696
HOG0000213	Atha__AT3G28470	HOG0001336		15	2.5633193160275947	0.8503968581633069	1.0091552574181472e-06	0.7531760204081633	2.7518063955129248e-05	0.0007045343632936695	0.021243833538053244
HOG0000237	Atha__AT1G16380, Atha__AT1G79400	HOG0004746	Atha__AT1G24110, Atha__AT5G47000, Atha__AT4G17690	16	0.4791062225345827	0.6860934551236295	7.39289940901992e-05	0.6830536332179932	7.92354858224969e-05	0.015068854984960082	0.04454122874049773
HOG0000237	Atha__AT1G16380, Atha__AT1G79400	HOG0012226	Atha__AT3G53700	24	0.4574120594809456	0.582656666956273	1.4333093450311705e-05	0.5908930056710773	1.1440722647821898e-05	0.005017101622921264	0.010468987412009832
HOG0000237	Atha__AT1G16380, Atha__AT1G79400	HOG0013992	Atha__AT1G05600	25	0.3122429253727415	0.5036100935931672	7.103625341536985e-05	0.5928999999999999	6.763521304078843e-06	0.01468594498513853	0.006619536912528668
HOG0000264	Atha__AT1G28310	HOG0001780	Atha__AT3G13670	14	0.2026367992147789	0.7894090174967875	2.174389863934997e-05	0.730931046975003	9.766040002967738e-05	0.006700384596231562	0.050609865863306965
HOG0000264	Atha__AT1G28310	HOG0002913	Atha__AT1G57590, Atha__AT5G26670, Atha__AT3G05910	17	0.36046470254365	0.7382216367134072	9.963102703055735e-06	0.748564254133026	7.320034553398061e-06	0.003874217481096642	0.007089686570018824
HOG0000264	Atha__AT1G28310	HOG0006379	Atha__AT1G06330	17	0.7105173577838598	0.6622986164309059	7.044846562231196e-05	0.6862985390234526	3.992311055905374e-05	0.014613074360678411	0.027980914613308587
